trace,full_seq_len,input_x_seq_len,true_y_seq_len,pred_y_seq_len,acc,recall,precision,f1,levenshtein,damerau_levenshtein,local_alignment,global_alignment,emph_start,longest_subsequence,longest_substring,overlap,entropy,input,true_encoded,pred_encoded,true_encoded_with_padding,pred_encoded_with_padding,true_decoded,pred_decoded
225,7,6,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006,022,022,022,022,<E>,<E>
226,12,11,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,021 | 021-001 | 021-001-014 | 021-001-014-016 | 021-001-014-016-008 | 021-001-014-016-008-001 | 021-001-014-016-008-001-014 | 021-001-014-016-008-001-014-002 | 021-001-014-016-008-001-014-002-005 | 021-001-014-016-008-001-014-002-005-006 | 021-001-014-016-008-001-014-002-005-006-022,000,022,000,022,<P>,<E>
227,10,2,8,1,0.0,0.0,0.0,0.0,0.125,0.125,1.0,0.125,0.0,0.125,0.125,1.0,0.26307430519497754,021 | 021-001,013 -> 008 -> 001 -> 014 -> 002 -> 005 -> 006 -> 022,022,013 -> 008 -> 001 -> 014 -> 002 -> 005 -> 006 -> 022,022,REJECTED_by_ADMINISTRATION -> REJECTED_by_EMPLOYEE -> SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
228,10,1,9,1,0.0,0.0,0.0,0.0,0.11111111111111116,0.11111111111111116,1.0,0.1111111111111111,0.0,0.11111111111111116,0.11111111111111116,1.0,0.25984091044852675,021,001 -> 013 -> 008 -> 001 -> 014 -> 002 -> 005 -> 006 -> 022,022,001 -> 013 -> 008 -> 001 -> 014 -> 002 -> 005 -> 006 -> 022,022,SUBMITTED_by_EMPLOYEE -> REJECTED_by_ADMINISTRATION -> REJECTED_by_EMPLOYEE -> SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
229,7,6,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006,022,022,022,022,<E>,<E>
230,5,3,2,1,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5408520829727552,021 | 021-001 | 021-001-013,008 -> 022,022,008 -> 022,022,REJECTED_by_EMPLOYEE -> <E>,<E>
231,7,6,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006,022,022,022,022,<E>,<E>
232,7,2,5,1,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,1.0,0.2,0.0,0.19999999999999996,0.19999999999999996,1.0,0.3221920815043502,021 | 021-001,014 -> 002 -> 005 -> 006 -> 022,022,014 -> 002 -> 005 -> 006 -> 022,022,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
233,8,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006 | 021-001-014-002-005-006-022,000,022,000,022,<P>,<E>
234,7,5,2,1,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5408520829727552,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005,006 -> 022,022,006 -> 022,022,Payment_Handled -> <E>,<E>
235,6,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,021 | 021-001 | 021-001-013 | 021-001-013-008 | 021-001-013-008-022,000,022,000,022,<P>,<E>
236,7,2,5,1,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,1.0,0.2,0.0,0.19999999999999996,0.19999999999999996,1.0,0.3221920815043502,021 | 021-001,014 -> 002 -> 005 -> 006 -> 022,022,014 -> 002 -> 005 -> 006 -> 022,022,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
237,9,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002 | 021-001-014-015-002-005 | 021-001-014-015-002-005-006 | 021-001-014-015-002-005-006-022,000,022,000,022,<P>,<E>
238,9,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002 | 021-001-014-015-002-005 | 021-001-014-015-002-005-006 | 021-001-014-015-002-005-006-022,000,022,000,022,<P>,<E>
239,7,6,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006,022,022,022,022,<E>,<E>
240,7,3,4,1,0.0,0.0,0.0,0.0,0.25,0.25,1.0,0.25,0.0,0.25,0.25,1.0,0.35935730170421254,021 | 021-001 | 021-001-014,002 -> 005 -> 006 -> 022,022,002 -> 005 -> 006 -> 022,022,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
241,7,1,6,1,0.0,0.0,0.0,0.0,0.16666666666666663,0.16666666666666663,1.0,0.16666666666666666,0.0,0.16666666666666663,0.16666666666666663,1.0,0.2966061330248052,021,001 -> 014 -> 002 -> 005 -> 006 -> 022,022,001 -> 014 -> 002 -> 005 -> 006 -> 022,022,SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
242,7,5,2,1,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5408520829727552,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005,006 -> 022,022,006 -> 022,022,Payment_Handled -> <E>,<E>
243,8,5,3,1,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,1.0,0.3333333333333333,0.0,0.33333333333333337,0.33333333333333337,1.0,0.41972078914818756,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002,005 -> 006 -> 022,022,005 -> 006 -> 022,022,Request_Payment -> Payment_Handled -> <E>,<E>
244,8,7,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002 | 021-001-014-015-002-005 | 021-001-014-015-002-005-006,022,022,022,022,<E>,<E>
245,11,8,3,1,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,1.0,0.3333333333333333,0.0,0.33333333333333337,0.33333333333333337,1.0,0.41972078914818756,021 | 021-001 | 021-001-014 | 021-001-014-016 | 021-001-014-016-008 | 021-001-014-016-008-001 | 021-001-014-016-008-001-014 | 021-001-014-016-008-001-014-002,005 -> 006 -> 022,022,005 -> 006 -> 022,022,Request_Payment -> Payment_Handled -> <E>,<E>
246,8,2,6,1,0.0,0.0,0.0,0.0,0.16666666666666663,0.16666666666666663,1.0,0.16666666666666666,0.0,0.16666666666666663,0.16666666666666663,1.0,0.2966061330248052,021 | 021-001,014 -> 015 -> 002 -> 005 -> 006 -> 022,022,014 -> 015 -> 002 -> 005 -> 006 -> 022,022,APPROVED_by_ADMINISTRATION -> APPROVED_by_BUDGET_OWNER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
247,8,2,6,1,0.0,0.0,0.0,0.0,0.16666666666666663,0.16666666666666663,1.0,0.16666666666666666,0.0,0.16666666666666663,0.16666666666666663,1.0,0.2966061330248052,021 | 021-001,014 -> 015 -> 002 -> 005 -> 006 -> 022,022,014 -> 015 -> 002 -> 005 -> 006 -> 022,022,APPROVED_by_ADMINISTRATION -> APPROVED_by_BUDGET_OWNER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
248,8,7,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002 | 021-001-014-015-002-005 | 021-001-014-015-002-005-006,022,022,022,022,<E>,<E>
249,8,1,7,1,0.0,0.0,0.0,0.0,0.1428571428571429,0.1428571428571429,1.0,0.14285714285714285,0.0,0.1428571428571429,0.1428571428571429,1.0,0.27771377864771785,021,001 -> 014 -> 015 -> 002 -> 005 -> 006 -> 022,022,001 -> 014 -> 015 -> 002 -> 005 -> 006 -> 022,022,SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> APPROVED_by_BUDGET_OWNER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
250,7,1,6,1,0.0,0.0,0.0,0.0,0.16666666666666663,0.16666666666666663,1.0,0.16666666666666666,0.0,0.16666666666666663,0.16666666666666663,1.0,0.2966061330248052,021,001 -> 014 -> 002 -> 005 -> 006 -> 022,022,001 -> 014 -> 002 -> 005 -> 006 -> 022,022,SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
251,8,5,3,1,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,1.0,0.3333333333333333,0.0,0.33333333333333337,0.33333333333333337,1.0,0.41972078914818756,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002,005 -> 006 -> 022,022,005 -> 006 -> 022,022,Request_Payment -> Payment_Handled -> <E>,<E>
252,8,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,021 | 021-001 | 021-001-004 | 021-001-004-002 | 021-001-004-002-005 | 021-001-004-002-005-006 | 021-001-004-002-005-006-022,000,022,000,022,<P>,<E>
253,7,2,5,1,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,1.0,0.2,0.0,0.19999999999999996,0.19999999999999996,1.0,0.3221920815043502,021 | 021-001,014 -> 002 -> 005 -> 006 -> 022,022,014 -> 002 -> 005 -> 006 -> 022,022,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
254,7,6,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006,022,022,022,022,<E>,<E>
255,7,2,5,1,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,1.0,0.2,0.0,0.19999999999999996,0.19999999999999996,1.0,0.3221920815043502,021 | 021-001,014 -> 002 -> 005 -> 006 -> 022,022,014 -> 002 -> 005 -> 006 -> 022,022,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
256,6,4,2,1,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5408520829727552,021 | 021-001 | 021-001-002 | 021-001-002-005,006 -> 022,022,006 -> 022,022,Payment_Handled -> <E>,<E>
257,9,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002 | 021-001-014-015-002-005 | 021-001-014-015-002-005-006 | 021-001-014-015-002-005-006-022,000,022,000,022,<P>,<E>
258,10,7,3,1,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,1.0,0.3333333333333333,0.0,0.33333333333333337,0.33333333333333337,1.0,0.41972078914818756,021 | 021-001 | 021-001-013 | 021-001-013-008 | 021-001-013-008-001 | 021-001-013-008-001-014 | 021-001-013-008-001-014-002,005 -> 006 -> 022,022,005 -> 006 -> 022,022,Request_Payment -> Payment_Handled -> <E>,<E>
259,7,5,2,1,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5408520829727552,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005,006 -> 022,022,006 -> 022,022,Payment_Handled -> <E>,<E>
260,7,6,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006,022,022,022,022,<E>,<E>
261,7,3,4,1,0.0,0.0,0.0,0.0,0.25,0.25,1.0,0.25,0.0,0.25,0.25,1.0,0.35935730170421254,021 | 021-001 | 021-001-014,002 -> 005 -> 006 -> 022,022,002 -> 005 -> 006 -> 022,022,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
262,7,6,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006,022,022,022,022,<E>,<E>
263,7,3,4,1,0.0,0.0,0.0,0.0,0.25,0.25,1.0,0.25,0.0,0.25,0.25,1.0,0.35935730170421254,021 | 021-001 | 021-001-014,002 -> 005 -> 006 -> 022,022,002 -> 005 -> 006 -> 022,022,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
264,7,5,2,1,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5408520829727552,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005,006 -> 022,022,006 -> 022,022,Payment_Handled -> <E>,<E>
265,8,6,2,1,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5408520829727552,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002 | 021-001-014-015-002-005,006 -> 022,022,006 -> 022,022,Payment_Handled -> <E>,<E>
266,11,4,7,1,0.0,0.0,0.0,0.0,0.1428571428571429,0.1428571428571429,1.0,0.14285714285714285,0.0,0.1428571428571429,0.1428571428571429,1.0,0.27771377864771785,021 | 021-001 | 021-001-013 | 021-001-013-008,001 -> 014 -> 015 -> 002 -> 005 -> 006 -> 022,022,001 -> 014 -> 015 -> 002 -> 005 -> 006 -> 022,022,SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> APPROVED_by_BUDGET_OWNER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
267,7,4,3,1,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,1.0,0.3333333333333333,0.0,0.33333333333333337,0.33333333333333337,1.0,0.41972078914818756,021 | 021-001 | 021-001-014 | 021-001-014-002,005 -> 006 -> 022,022,005 -> 006 -> 022,022,Request_Payment -> Payment_Handled -> <E>,<E>
268,5,4,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-013 | 021-001-013-008,022,022,022,022,<E>,<E>
269,9,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002 | 021-001-014-015-002-005 | 021-001-014-015-002-005-006 | 021-001-014-015-002-005-006-022,000,022,000,022,<P>,<E>
270,5,2,3,1,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,1.0,0.3333333333333333,0.0,0.33333333333333337,0.33333333333333337,1.0,0.41972078914818756,021 | 021-001,013 -> 008 -> 022,022,013 -> 008 -> 022,022,REJECTED_by_ADMINISTRATION -> REJECTED_by_EMPLOYEE -> <E>,<E>
271,8,7,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002 | 021-001-014-015-002-005 | 021-001-014-015-002-005-006,022,022,022,022,<E>,<E>
272,15,1,14,1,0.0,0.0,0.0,0.0,0.0714285714285714,0.0714285714285714,1.0,0.07142857142857142,0.0,0.0714285714285714,0.0714285714285714,1.0,0.23723250594112633,021,001 -> 014 -> 015 -> 007 -> 008 -> 001 -> 013 -> 008 -> 001 -> 014 -> 002 -> 005 -> 006 -> 022,022,001 -> 014 -> 015 -> 007 -> 008 -> 001 -> 013 -> 008 -> 001 -> 014 -> 002 -> 005 -> 006 -> 022,022,SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> APPROVED_by_BUDGET_OWNER -> REJECTED_by_SUPERVISOR -> REJECTED_by_EMPLOYEE -> SUBMITTED_by_EMPLOYEE -> REJECTED_by_ADMINISTRATION -> REJECTED_by_EMPLOYEE -> SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
273,6,3,3,1,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,1.0,0.3333333333333333,0.0,0.33333333333333337,0.33333333333333337,1.0,0.41972078914818756,021 | 021-001 | 021-001-002,005 -> 006 -> 022,022,005 -> 006 -> 022,022,Request_Payment -> Payment_Handled -> <E>,<E>
274,7,3,4,1,0.0,0.0,0.0,0.0,0.25,0.25,1.0,0.25,0.0,0.25,0.25,1.0,0.35935730170421254,021 | 021-001 | 021-001-014,002 -> 005 -> 006 -> 022,022,002 -> 005 -> 006 -> 022,022,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
275,6,3,3,1,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,1.0,0.3333333333333333,0.0,0.33333333333333337,0.33333333333333337,1.0,0.41972078914818756,021 | 021-001 | 021-001-002,005 -> 006 -> 022,022,005 -> 006 -> 022,022,Request_Payment -> Payment_Handled -> <E>,<E>
276,6,5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-002 | 021-001-002-005 | 021-001-002-005-006,022,022,022,022,<E>,<E>
277,5,1,4,1,0.0,0.0,0.0,0.0,0.25,0.25,1.0,0.25,0.0,0.25,0.25,1.0,0.35935730170421254,021,001 -> 013 -> 008 -> 022,022,001 -> 013 -> 008 -> 022,022,SUBMITTED_by_EMPLOYEE -> REJECTED_by_ADMINISTRATION -> REJECTED_by_EMPLOYEE -> <E>,<E>
278,7,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,021 | 021-001 | 021-001-002 | 021-001-002-005 | 021-001-002-005-006 | 021-001-002-005-006-022,000,022,000,022,<P>,<E>
279,13,5,8,1,0.0,0.0,0.0,0.0,0.125,0.125,1.0,0.125,0.0,0.125,0.125,1.0,0.26307430519497754,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-007,008 -> 001 -> 014 -> 015 -> 002 -> 005 -> 006 -> 022,022,008 -> 001 -> 014 -> 015 -> 002 -> 005 -> 006 -> 022,022,REJECTED_by_EMPLOYEE -> SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> APPROVED_by_BUDGET_OWNER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
280,7,6,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006,022,022,022,022,<E>,<E>
281,6,5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-002 | 021-001-002-005 | 021-001-002-005-006,022,022,022,022,<E>,<E>
282,8,2,6,1,0.0,0.0,0.0,0.0,0.16666666666666663,0.16666666666666663,1.0,0.16666666666666666,0.0,0.16666666666666663,0.16666666666666663,1.0,0.2966061330248052,021 | 021-001,014 -> 015 -> 002 -> 005 -> 006 -> 022,022,014 -> 015 -> 002 -> 005 -> 006 -> 022,022,APPROVED_by_ADMINISTRATION -> APPROVED_by_BUDGET_OWNER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
283,7,3,4,1,0.0,0.0,0.0,0.0,0.25,0.25,1.0,0.25,0.0,0.25,0.25,1.0,0.35935730170421254,021 | 021-001 | 021-001-014,002 -> 005 -> 006 -> 022,022,002 -> 005 -> 006 -> 022,022,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
284,8,5,3,1,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,1.0,0.3333333333333333,0.0,0.33333333333333337,0.33333333333333337,1.0,0.41972078914818756,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002,005 -> 006 -> 022,022,005 -> 006 -> 022,022,Request_Payment -> Payment_Handled -> <E>,<E>
285,7,6,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006,022,022,022,022,<E>,<E>
286,7,2,5,1,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,1.0,0.2,0.0,0.19999999999999996,0.19999999999999996,1.0,0.3221920815043502,021 | 021-001,014 -> 002 -> 005 -> 006 -> 022,022,014 -> 002 -> 005 -> 006 -> 022,022,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
287,8,6,2,1,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5408520829727552,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002 | 021-001-014-015-002-005,006 -> 022,022,006 -> 022,022,Payment_Handled -> <E>,<E>
288,8,4,4,1,0.0,0.0,0.0,0.0,0.25,0.25,1.0,0.25,0.0,0.25,0.25,1.0,0.35935730170421254,021 | 021-001 | 021-001-014 | 021-001-014-015,002 -> 005 -> 006 -> 022,022,002 -> 005 -> 006 -> 022,022,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
289,6,2,4,1,0.0,0.0,0.0,0.0,0.25,0.25,1.0,0.25,0.0,0.25,0.25,1.0,0.35935730170421254,021 | 021-001,002 -> 005 -> 006 -> 022,022,002 -> 005 -> 006 -> 022,022,FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
290,8,2,6,1,0.0,0.0,0.0,0.0,0.16666666666666663,0.16666666666666663,1.0,0.16666666666666666,0.0,0.16666666666666663,0.16666666666666663,1.0,0.2966061330248052,021 | 021-001,014 -> 015 -> 002 -> 005 -> 006 -> 022,022,014 -> 015 -> 002 -> 005 -> 006 -> 022,022,APPROVED_by_ADMINISTRATION -> APPROVED_by_BUDGET_OWNER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
291,7,5,2,1,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5408520829727552,021 | 021-001 | 021-001-004 | 021-001-004-002 | 021-001-004-002-005,006 -> 022,022,006 -> 022,022,Payment_Handled -> <E>,<E>
292,7,1,6,1,0.0,0.0,0.0,0.0,0.16666666666666663,0.16666666666666663,1.0,0.16666666666666666,0.0,0.16666666666666663,0.16666666666666663,1.0,0.2966061330248052,021,001 -> 014 -> 002 -> 005 -> 006 -> 022,022,001 -> 014 -> 002 -> 005 -> 006 -> 022,022,SUBMITTED_by_EMPLOYEE -> APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
293,8,5,3,1,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,1.0,0.3333333333333333,0.0,0.33333333333333337,0.33333333333333337,1.0,0.41972078914818756,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002,005 -> 006 -> 022,022,005 -> 006 -> 022,022,Request_Payment -> Payment_Handled -> <E>,<E>
294,8,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005 | 021-001-014-002-005-006 | 021-001-014-002-005-006-022,000,022,000,022,<P>,<E>
295,7,4,3,1,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,1.0,0.3333333333333333,0.0,0.33333333333333337,0.33333333333333337,1.0,0.41972078914818756,021 | 021-001 | 021-001-014 | 021-001-014-002,005 -> 006 -> 022,022,005 -> 006 -> 022,022,Request_Payment -> Payment_Handled -> <E>,<E>
296,7,5,2,1,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5408520829727552,021 | 021-001 | 021-001-014 | 021-001-014-002 | 021-001-014-002-005,006 -> 022,022,006 -> 022,022,Payment_Handled -> <E>,<E>
297,8,6,2,1,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.5408520829727552,021 | 021-001 | 021-001-014 | 021-001-014-015 | 021-001-014-015-002 | 021-001-014-015-002-005,006 -> 022,022,006 -> 022,022,Payment_Handled -> <E>,<E>
298,7,2,5,1,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,1.0,0.2,0.0,0.19999999999999996,0.19999999999999996,1.0,0.3221920815043502,021 | 021-001,014 -> 002 -> 005 -> 006 -> 022,022,014 -> 002 -> 005 -> 006 -> 022,022,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
299,8,3,5,1,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,1.0,0.2,0.0,0.19999999999999996,0.19999999999999996,1.0,0.3221920815043502,021 | 021-001 | 021-001-014,015 -> 002 -> 005 -> 006 -> 022,022,015 -> 002 -> 005 -> 006 -> 022,022,APPROVED_by_BUDGET_OWNER -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
300,7,2,5,1,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,1.0,0.2,0.0,0.19999999999999996,0.19999999999999996,1.0,0.3221920815043502,021 | 021-001,014 -> 002 -> 005 -> 006 -> 022,022,014 -> 002 -> 005 -> 006 -> 022,022,APPROVED_by_ADMINISTRATION -> FINAL_APPROVED_by_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,<E>
